,FID,T7590,T9000,T0015
1092,1092,3,3,3
1093,1093,9,9,3
1094,1094,3,3,3
1095,1095,3,3,3
1096,1096,3,3,3
1097,1097,3,3,3
1098,1098,3,3,3
1099,1099,3,3,3
1100,1100,3,3,3
1101,1101,2,3,3
1102,1102,3,3,3
1103,1103,3,3,3
1104,1104,3,2,3
1105,1105,3,3,3
1106,1106,3,2,1
1107,1107,3,3,3
1108,1108,3,3,3
1109,1109,1,3,3
1110,1110,3,3,3
1111,1111,1,3,1
1112,1112,1,3,2
1113,1113,1,3,3
1114,1114,1,6,5
1115,1115,1,3,2
1116,1116,1,3,3
1117,1117,1,6,6
1118,1118,3,3,3
1119,1119,3,3,9
1120,1120,9,9,9
1121,1121,1,3,3
1122,1122,6,3,6
1123,1123,3,9,9
1124,1124,3,9,9
1125,1125,3,3,3
1126,1126,3,3,3
1127,1127,3,3,3
1128,1128,3,3,3
1129,1129,3,3,3
1130,1130,3,3,6
1131,1131,2,3,3
1132,1132,3,3,6
1133,1133,3,6,6
1134,1134,2,3,6
1135,1135,3,3,3
1136,1136,3,3,6
1137,1137,3,3,3
1138,1138,3,3,3
1139,1139,2,3,3
1140,1140,3,3,6
1141,1141,3,3,6
1142,1142,1,9,6
1143,1143,3,3,6
1144,1144,3,3,3
1145,1145,3,3,3
1146,1146,2,3,3
1147,1147,3,3,6
1148,1148,3,3,3
1149,1149,3,6,3
1150,1150,3,1,3
1151,1151,3,3,6
1152,1152,3,3,3
1153,1153,3,9,3
1154,1154,3,9,9
1155,1155,2,3,3
1156,1156,2,3,3
1157,1157,2,3,3
1158,1158,2,9,3
1159,1159,2,6,3
1160,1160,2,3,3
1161,1161,3,3,3
1162,1162,2,6,3
1163,1163,3,6,3
1164,1164,2,3,3
1165,1165,2,9,3
1166,1166,2,3,3
1167,1167,2,6,3
1168,1168,2,3,3
1169,1169,2,3,9
1170,1170,2,3,3
1171,1171,2,3,3
1172,1172,2,3,3
1173,1173,2,3,3
1174,1174,2,3,3
1175,1175,5,3,3
1176,1176,2,3,3
1177,1177,2,3,3
1178,1178,2,3,3
1179,1179,2,3,3
1180,1180,2,6,3
1181,1181,1,6,6
1182,1182,3,3,3
1183,1183,2,3,3
1184,1184,2,3,3
1185,1185,2,3,3
1186,1186,3,3,3
1187,1187,3,3,3
1188,1188,2,3,3
1189,1189,2,6,3
1190,1190,3,3,3
1191,1191,3,6,3
1192,1192,3,3,3
1193,1193,1,3,6
1194,1194,3,3,3
1195,1195,2,3,3
1196,1196,2,9,3
1197,1197,1,3,3
1198,1198,2,3,3
1199,1199,2,3,3
1200,1200,2,3,3
1201,1201,2,3,3
1202,1202,2,3,3
1203,1203,2,3,3
1204,1204,1,3,3
1205,1205,5,3,6
1206,1206,5,9,3
1207,1207,2,3,3
1208,1208,2,3,3
1209,1209,3,3,6
1210,1210,2,3,3
1211,1211,2,3,3
1212,1212,2,3,3
1213,1213,2,3,3
1214,1214,2,3,3
1215,1215,1,3,3
1216,1216,2,3,3
1217,1217,2,1,3
1218,1218,2,3,3
1219,1219,3,6,6
1220,1220,2,3,3
1221,1221,2,3,3
1222,1222,5,9,6
1223,1223,5,9,3
1224,1224,2,3,6
1225,1225,2,9,6
1226,1226,2,3,3
1227,1227,2,3,3
1228,1228,3,3,3
1229,1229,3,3,6
1230,1230,2,3,3
1231,1231,6,6,6
